|VIDEO TITLE|VIDEO ID|VIEW COUNT|LIKE COUNT|DISLIKE COUNT
0|"Bowling Trick Shots 2 | Dude Perfect"|wSB9JvsBT4M|15954753|436747|8011
1|"Nerf Blasters Floating Island Battle | Dude Perfect"|muzeGsrYpnQ|23810456|514213|18925
2|"Dirt Bike Battle | Dude Perfect"|6re9XAwo4b4|20766368|445626|11636
3|"All Sports Golf Battle 3 | Dude Perfect"|No8-mBek3rs|15448489|388493|8240
4|"The Net Gun | Overtime Ep. 4 | Dude Perfect"|RohJfM-VFS0|21599317|373970|12023
5|"Ping Pong Trick Shots 4 | Dude Perfect"|DkW87-Z9FAY|42125026|2208654|36931
6|"Fortnite with Ninja | Dude Perfect"|FepIkIILumA|29613139|581747|26679
7|DUDE PERFECT: FOOTBALL VS SOCCER TRICK SHOTS! BEHIND THE SCENES!|BLRBODK7IwE|664895|22374|227
8|"Real Life Trick Shots 2 | Dude Perfect"|VRJmcxCrAOA|101714029|1845330|40038
9|"Old School Trick Shots | Dude Perfect"|v-dfygYIfLs|20416367|525143|12195
10|"Giant Darts Battle | Dude Perfect"|9m9oO84Q2fk|25271155|485099|13111
11|"Deep Sea Fishing Battle | Dude Perfect"|Hk5dxn5dj2M|33484963|528695|22410
12|"Boomerang Trick Shots | Dude Perfect"|S9KxqRUcnCU|41569390|1211441|22927
13|"Giant Sumo Battle | Dude Perfect"|th2T6rygqNU|50626929|1218256|17279
14|"Water Bottle Flip 2 | Dude Perfect"|VJwoSfTOhyM|88791499|1034277|31826
15|"Crossbow Trick Shots | Dude Perfect"|hYirFqEc8Tg|21214172|467664|10324
16|"Real Life Trick Shots | Dude Perfect"|A2FsgKoGD04|105923427|1661262|33185
17|"Go Kart Soccer Battle | Dude Perfect"|QU1byle-nmA|16734491|381927|8650
18|"World Record Edition | Dude Perfect"|gm2_6DX_0Bw|81682530|1122740|27646
19|"Bubble Gum Blowing Battle | Dude Perfect"|dlOPwVsI-O4|51749573|354535|8644
20|"Water Bottle Flip Edition | Dude Perfect"|P8V_bx0L4RY|83931518|1208737|31304
21|"Football vs Soccer Trick Shots | Dude Perfect"|qZHycHI3F1Q|35763035|833794|14148
22|"Model Rocket Battle | Dude Perfect"|WpqUOW19aJQ|35255463|691006|10203
23|"Ping Pong Trick Shots 3 | Dude Perfect"|UeG1ftTmLAg|161838300|4135377|95184
24|"Beach Stereotypes | Dude Perfect"|ggR_SPwP6cw|82551817|933731|34280
